0,freq,rel_freq
which,3140226612,1.0
their,2152980325,0.6856130435850214
there,1623700147,0.5170646413845499
would,1472811049,0.4690142562870555
other,1383185827,0.4404732517437821
these,1305787385,0.4158258451826661
about,1070877995,0.3410193362822186
first,923189150,0.2939880664892601
could,886891028,0.2824289892362711
after,802220137,0.25546568325177926
those,691668501,0.22026069658695066
where,671644491,0.2138840835350516
being,616194541,0.19622613815362444
under,585610545,0.18648671492756588
great,557149997,0.17742350022476658
state,553386027,0.17622487016870106
world,505870068,0.1610934911725409
three,487787199,0.15533503127958334
while,483440546,0.15395084678048068
found,436617767,0.13904020981527812
might,409560494,0.1304238657283247
still,408263128,0.13001072165934502
right,405717045,0.12919992571542477
place,401396238,0.12782397183251437
every,393306866,0.12524792462334564
power,374440251,0.11923988210568034
since,371590865,0.11833249982023909
given,370958373,0.11813108378307062
never,367408537,0.11700064434712841
order,360669813,0.11485470877220882
water,355340324,0.11315754176533295
small,350484848,0.11161132341871893
shall,343397728,0.10935444171059079
large,342399659,0.10903660827902059
point,333858038,0.10631654311959572
again,326183679,0.10387265611772352
often,325385700,0.10361854101757419
among,321351351,0.10233380921363901
house,316642686,0.10083434258852145
group,284672959,0.09065363560456317
think,282298331,0.08989743922340851
human,279027691,0.08885590929448502
later,269420608,0.08579654951347823
until,266946065,0.08500853536489933
whole,264397495,0.08419694743991935
early,262989441,0.0837485549593833
above,257260161,0.08192407516607594
value,251727013,0.080162053285599
study,251146114,0.07997706695442781
table,247925745,0.07895154574277584
taken,244444700,0.07784301268764612
times,244274912,0.07778894397828892
known,242748318,0.07730280262971034
court,235765991,0.0750792920800838
young,233692423,0.0744189677607891
white,223783182,0.07126338626162818
light,223142561,0.07105938155777912
least,219366839,0.0698570090966416
level,217515046,0.06926730866135339
child,214513506,0.06831147318485307
death,214241154,0.06822474313837833
press,211628967,0.0673928964843764
going,207111364,0.06595427323892764
party,203139462,0.06468942757943866
sense,197220509,0.06280454673122807
based,197020666,0.06274090705655098
whose,196188708,0.0624759713997354
south,194907298,0.06206790849271358
total,194645191,0.06198444094963934
class,193633305,0.06166220751714335
local,188970118,0.06017722328633014
along,186532177,0.05940086498445355
money,182729316,0.05818985015340033
black,181542099,0.05781178285231346
force,179566043,0.0571825110690451
north,178650422,0.05689093306747634
night,177813198,0.05662432046162151
short,176858591,0.0563203274324713
field,176569485,0.05622826210225111
quite,173456485,0.05523693237206411
thing,172738438,0.05500827148585415
woman,168921413,0.05379274615229584
major,168841614,0.05376733429198771
third,164752523,0.052465169988184276
shown,164618363,0.05242244695683128
cause,162187677,0.05164839899777271
heart,161254474,0.051351222037220284
trade,157534593,0.05016663205069354
clear,155451094,0.04950314522078192
model,155409143,0.04948978599382687
lower,145218962,0.046244739613715495
close,144027294,0.04586525489899899
blood,143765938,0.04578202651063961
story,136788548,0.04356008814054341
paper,135586065,0.04317715940686385
works,134992496,0.04298813833503045
union,131560771,0.04189531115278632
river,129050101,0.04109579242047389
space,127941942,0.04074290100946384
price,127365117,0.04055921203689233
basis,123422191,0.0393035937369478
alone,122890524,0.03913428525520692
below,122666600,0.03906297702568479
earth,121334649,0.038638819420335514
range,118834139,0.03784253612331338
truth,118722538,0.0378069969684086
board,117325679,0.03736216951721063
needs,116865318,0.03721556831389594
front,114244970,0.03638112280286605
leave,111442661,0.035488732110649346
march,111017382,0.03535330271253685
doing,109588230,0.03489819160859974
stage,109565790,0.034891045627505814
today,108960014,0.034698137256598725
labor,108728677,0.03462446836941843
voice,105822860,0.03369911572483674
bring,105435509,0.033575764435945746
peace,105430654,0.03357421836918055
chief,104936898,0.033416982583039136
added,104772904,0.03336475896345279
issue,103420145,0.03293397508472551
equal,103238744,0.03287620823461768
basic,102960618,0.03278763946733918
music,102628158,0.0326817681271214
wrote,101295092,0.032257255451855905
sound,98359048,0.03132227706883722
final,96624825,0.030770016606686854
cross,92631653,0.029498397550679695
moral,92086790,0.0293248868244417
faith,91679190,0.029195087274803338
legal,91243628,0.029056383272252836
comes,91173579,0.02903407628340932
civil,90893209,0.02894479291802142
built,88977072,0.02833460224175694
round,88680611,0.028240194723883196
scale,87945524,0.02800610747769817
write,87398762,0.02783199201803338
doubt,86837636,0.027653302366192418
seven,86326705,0.027490597229547966
green,84883858,0.02703112497538442
image,83929870,0.02672732906576616
plant,83847060,0.026700958357460097
speak,83469645,0.026580771171427802
tried,82422379,0.026247271036119735
china,82354191,0.026225556679665512
upper,82015080,0.02611756733943633
eight,81515476,0.025958469267312864
henry,81403955,0.025922955588276505
stock,81089976,0.025822969492113837
stand,80686346,0.025694434182446192
share,80467423,0.02562471851314914
style,79906426,0.025446069941146017
start,79891984,0.025441470909998133
goods,79809435,0.025415183316712813
ready,79609735,0.025351589180150545
occur,79479712,0.025310183569643603
stood,78683031,0.0250564818154595
staff,77708958,0.024746289870624154
brown,75023376,0.02389107069958173
lived,74523682,0.023731943967106282
learn,74450821,0.023708741501487537
daily,74143745,0.023610953654321813
allow,74009167,0.023568097511556276
noted,73569863,0.02342820187526008
phase,73292544,0.023339890095804335
hence,72980522,0.023240527203073076
heavy,72613321,0.02312359264854227
fully,72304884,0.02302537139316492
title,71430817,0.02274702619455414
claim,71229695,0.02268297922443057
fixed,70927704,0.022586810687151772
color,69334092,0.022079327566694732
begin,69317502,0.02207404450847957
event,69296813,0.02206745613045585
month,69201284,0.02203703507751816
offer,68537056,0.021825512763344483
wrong,68462528,0.02180177944431738
carry,67589761,0.021523848228568544
serve,67412909,0.021467530000029184
stone,67310166,0.02143481166065604
royal,66531300,0.021186783063922396
trust,66094897,0.02104781124630505
drawn,64897953,0.020666646398065747
floor,64500064,0.020539939300406134
smith,64298764,0.020475835646475312
glass,64025067,0.020388677286962625
judge,63704000,0.020286434028857277
enemy,63490658,0.0202184956198314
japan,63378888,0.02018290264715456
piece,63366737,0.02017903318118877
reach,63077482,0.020086920402163637
meant,62748044,0.019982011412875703
visit,62724360,0.019974469282027726
enter,61810749,0.019683531361653208
worth,61649677,0.019632238248161182
cover,61094511,0.019455446548518072
forth,60949516,0.019409273129234916
avoid,60713817,0.019334215170328607
mouth,60506237,0.01926811166072622
exist,60331721,0.019212537327544944
spent,59522444,0.018954824397876928
scene,59437019,0.018927620947121634
brain,59381487,0.01890993687305265
shape,59292802,0.018881695280658937
happy,59164298,0.018840773393203763
older,58790316,0.01872167944037537
trial,58746152,0.01870761548720994
usual,58076335,0.018494313365178244
prior,58065499,0.018490862658799734
apply,58019012,0.018476058950104842
horse,57895565,0.018436747455982644
speed,57878343,0.018431263138406904
index,57715744,0.018379483754276265
birth,57685653,0.0183699013248156
ought,57330059,0.018256663000345275
error,56750399,0.018072071226686363
joint,56586193,0.018019780096048685
focus,56401617,0.017961002172412643
peter,56046161,0.01784780779381536
queen,55387905,0.0176381872532198
urban,55345225,0.017624595877413704
bound,55126998,0.01755510184817197
coast,54258062,0.017278390608072458
plate,53932896,0.017174842030158555
check,53673380,0.017092199586773008
break,53238563,0.016953732828247237
